"Predator name","Total stomachs sampled","Euphausiacea","Walleye pollock","Forage Fish","Pandalidae","Tanner Crab"
"Arrowtooth flounder","3539","1433","694","719","709","4"
"Pacific halibut","3071","141","679","331","147","639"
"Pacific cod","3176","1000","336","144","1219","869"
"Walleye pollock","3228","2365","96","224","667","6"
