Pred_common,total_stomachs,length_avg,length_min,length_max,length_sd,4.0,3.0,2.0,1.0
Pacific cod,10474.0,52.2,7.0,105.0,14.9,5193,3360,1261,660
Walleye pollock,11606.0,42.3,6.0,75.0,14.9,2544,5173,1691,2198
Arrowtooth flounder,10436.0,39.9,8.0,84.0,13.6,107,2487,4514,3328
Pacific halibut,7219.0,60.8,8.0,172.0,20.2,2262,2661,1843,453
,,,,,,,,,
