,Pred_name,Com_name,F,E,T,max,min,Fork length (cm)* Mean,SD,year
72,Pleurogrammus monopterygius,Atka mackerel,87,10,97,47,28,37.36082474,3.301469266,2003
73,Raja binoculata,big skate,86,3,89,135,43,87.23595506,21.35736113,2003
74,Raja rhina,longnose skate,22,1,23,94,48,71.65217391,17.62129057,2003
75,Sebastolobus alascanus,NA,8,4,12,46,8,26.08333333,10.43994369,2003
76,Albatrossia pectoralis,giant grenadier,163,23,186,40,17,26.95698925,4.512838092,2005
77,Anoplopoma fimbria,sablefish,185,21,206,93,31,60.20873786,11.63468831,2005
78,Atheresthes evermanni,Kamchatka flounder,1,NA,1,55,55,55,NA,2005
79,Atheresthes stomias,arrowtooth flounder,284,95,379,81,10,40.91029024,14.39217801,2005
80,Bathyraja aleutica,Aleutian skate,52,1,53,84,39,65.24528302,13.06184352,2005
81,Bathyraja interrupta,sandpaper skate,44,2,46,53,23,41.60869565,7.678189199,2005
82,Gadus chalcogrammus,walleye pollock,529,29,558,66,12,40.39247312,15.01316289,2005
83,Gadus macrocephalus,Pacific cod,758,6,764,99,14,50.41492147,14.94303161,2005
84,Hippoglossus stenolepis,Pacific halibut,198,48,246,163,26,62.50406504,22.21338959,2005
85,Merluccius productus,North Pacific hake,2,1,3,55,51,52.33333333,2.309401077,2005
86,Pleurogrammus monopterygius,Atka mackerel,13,4,17,46,37,43.52941176,2.267091944,2005
87,Raja binoculata,big skate,23,NA,23,126,82,92.17391304,12.7623458,2005
88,Raja rhina,longnose skate,57,9,66,115,46,75.45454545,17.1070672,2005
89,Sebastes aleutianus,rougheye rockfish,98,30,128,54,16,31.625,10.08233819,2005
90,Sebastes alutus,Pacific ocean perch,184,39,223,43,13,30.18834081,6.936029996,2005
91,Sebastes borealis,shortraker rockfish,12,5,17,80,41,54.35294118,12.12920637,2005
92,Sebastolobus alascanus,NA,107,32,139,53,17,28.9352518,7.350646854,2005
93,Anoplopoma fimbria,sablefish,397,87,484,90,25,58.60743802,11.06328616,2007
94,Atheresthes stomias,arrowtooth flounder,610,349,959,79,12,40.47862357,14.74626423,2007
95,Bathyraja aleutica,Aleutian skate,33,1,34,93,60,74.79411765,10.30968774,2007
96,Bathyraja interrupta,sandpaper skate,34,1,35,84,44,61.71428571,14.03896139,2007
97,Bathyraja parmifera,Alaska skate,16,1,17,88,24,63.11764706,22.36035094,2007
98,Bathyraja trachura,roughtail skate,4,NA,4,46,46,46,0,2007
99,Coryphaenoides acrolepis,Pacific grenadier,43,4,47,20,4,12.78723404,4.190756755,2007
100,Gadus chalcogrammus,walleye pollock,1924,51,1975,74,11,43.63696203,14.45961258,2007
101,Gadus macrocephalus,Pacific cod,2491,11,2502,95,15,52.50239808,14.41043823,2007
102,Glyptocephalus zachirus,Rex sole,624,3,627,50,15,33.11004785,8.150482325,2007
103,Hemilepidotus jordani,yellow Irish lord,75,NA,75,46,33,38.08,3.819438193,2007
